country_code,year,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,BN.CAB.XOKA.GD.ZS,FI.RES.TOTL.MO,GC.DOD.TOTL.GD.ZS,NY.GNS.ICTR.ZS,DT.DOD.DECT.GD.ZS,NY.GDP.PCAP.CD,FR.INR.RINR,GC.BAL.CASH.GD.ZS,country_name
PHL,2014,6.34798748260867,3.59782343864211,3.6156391335833,9.94050359217836,43.426338941462,37.3474479713157,,2866.83803761407,2.39960024337773,,Philippines
PHL,2015,6.34830971672761,0.674192536845408,2.37094985955594,9.89835817167378,43.426338941462,35.6348333700962,,2909.85818010301,6.34358648995616,,Philippines
PHL,2016,7.14945675000752,1.25369880080982,-0.376262661565376,8.8465616501929,43.426338941462,35.0547724231085,,2985.19564024046,4.30655097833464,,Philippines
PHL,2017,6.9309883258402,2.85318772590947,-0.652387929422697,7.78302270131783,43.426338941462,35.4886316753905,,3038.12124959289,3.2319992694047,,Philippines
PHL,2018,6.34148557153473,5.30934661627707,-2.55939306312468,6.88316024492647,43.426338941462,33.8070507208738,,3168.51036609727,2.29210640379307,,Philippines
PHL,2019,6.11852566221303,2.39206534422404,-0.808557862529767,7.72024557926384,43.426338941462,31.7551872075089,,3400.78949767074,6.35446159033897,,Philippines
PHL,2020,-9.51829474045297,2.3931623931624,3.20065009232565,12.2854455443743,43.426338941462,24.8181733606399,,3227.57910235199,6.35446159033897,,Philippines
PHL,2021,5.71473313185116,3.92718022100332,-1.50797765976295,9.66180966264431,43.426338941462,20.2029188331693,,3484.38593882819,6.35446159033897,,Philippines
PHL,2022,7.58098212785563,5.82115811213955,-4.51605763317134,7.17102711134574,43.426338941462,22.4737175447068,,3548.06930572116,6.35446159033897,,Philippines
PHL,2023,5.51894967856043,5.97802515541409,-2.834121138482,7.61565817073656,43.426338941462,27.3405418997346,,3804.08274131718,6.35446159033897,,Philippines
PHL,2024,5.71474526128652,3.21260487006347,-4.0212789718349,7.34350984657376,43.426338941462,29.1320470859788,,3985.29464669706,6.35446159033897,,Philippines
